,N,J,w_xray,r_free,w_0_3k0n,r_work_3k0n,ff,pdb,cif_0,w_1_3k0n,w_2_3k0n,w_3_3k0n,w_4_3k0n,w_5_3k0n,w_6_3k0n,w_7_3k0n
1,1.0,1.0,1000.0,0.2397713084983682,1.0,0.2293073134601185,937.3509163761742,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/1/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
2,1.0,1.0,10000.0,0.1967800722930819,1.0,0.1779765037844716,1619.8905836269437,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/2/output_7/pdbs/295.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
3,1.0,1.0,20000.0,0.1876007205157603,1.0,0.1630396434327806,1739.456116295083,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/3/output_5/pdbs/273.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
4,1.0,1.0,30000.0,0.1841743178214409,1.0,0.1580924684346461,1769.6229363542084,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/4/output_7/pdbs/130.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
5,1.0,1.0,40000.0,0.1833731255931823,1.0,0.1557095669146991,1856.1225236406383,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/5/output_6/pdbs/340.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
6,1.0,1.0,50000.0,0.1834629928632894,1.0,0.1543505248983927,1908.877430354269,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/6/output_9/pdbs/397.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
7,1.0,1.0,60000.0,0.1821532501833477,1.0,0.1527262911727788,2044.953611646223,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/7/output_2/pdbs/291.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
8,1.0,1.0,70000.0,0.1824546930904077,1.0,0.1513488445446768,2177.4046565506824,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/8/output_7/pdbs/89.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
9,1.0,1.0,80000.0,0.1821645218878753,1.0,0.1513856055584002,2172.357593322093,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/9/output_6/pdbs/468.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
10,1.0,1.0,90000.0,0.18260104063903,1.0,0.1506849185525867,2331.0633448317526,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/10/output_0/pdbs/213.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
11,1.0,1.0,100000.0,0.1830437923821634,1.0,0.1501758734424673,2340.811462101961,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/11/output_8/pdbs/201.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
13,2.0,1.0,1000.0,0.2321102882600724,0.5,0.2204434935287697,1932.30057008768,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/13/output_2/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
14,2.0,1.0,10000.0,0.2053664519097783,0.5,0.194587902480686,3356.0025917106937,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/14/output_7/pdbs/198.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
15,2.0,1.0,20000.0,0.1808418821404075,0.5,0.1656196705724892,3563.961044386859,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/15/output_3/pdbs/172.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
16,2.0,1.0,30000.0,0.1757192591990552,0.5,0.1545701995605239,3917.269883887487,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/16/output_1/pdbs/246.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
17,2.0,1.0,40000.0,0.1747807011745399,0.5,0.1504704184349628,4037.750871719824,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/17/output_2/pdbs/169.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
18,2.0,1.0,50000.0,0.1714835029599991,0.5,0.1471806631776537,4333.867381117344,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/18/output_9/pdbs/168.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
19,2.0,1.0,60000.0,0.1690416651251548,0.5,0.14560141729077,4272.578646004447,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/19/output_4/pdbs/35.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
20,2.0,1.0,70000.0,0.1703316469998709,0.5,0.1437802789732408,4896.052817489976,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/20/output_1/pdbs/275.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
21,2.0,1.0,80000.0,0.1694515593729235,0.5,0.1428613610456985,5015.631202419639,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/21/output_4/pdbs/167.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
22,2.0,1.0,90000.0,0.1699974502267546,0.5,0.1420214496058973,5323.783245554173,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/22/output_9/pdbs/211.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
23,2.0,1.0,100000.0,0.1688477750819622,0.5,0.1421625266919342,5350.175228169484,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/23/output_8/pdbs/39.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
25,4.0,1.0,1000.0,0.2223361937272241,0.25,0.2120154847995879,3769.3704367348296,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/25/output_1/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
26,4.0,1.0,10000.0,0.2087002665214513,0.25,0.1926206811409533,3814.2301852397422,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/26/output_4/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
27,4.0,1.0,20000.0,0.1987543179801498,0.25,0.1790151818669796,3889.408819714097,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/27/output_2/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
28,4.0,1.0,30000.0,0.1823952955746946,0.25,0.1637057486369037,7637.775409264879,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/28/output_4/pdbs/321.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
29,4.0,1.0,40000.0,0.1747602902971401,0.25,0.1563118029779262,7953.493762358756,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/29/output_6/pdbs/239.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
30,4.0,1.0,50000.0,0.173239639049769,0.25,0.1485872925792919,8469.630138362993,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/30/output_5/pdbs/393.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
31,4.0,1.0,60000.0,0.1701023339209673,0.25,0.1443973315709339,8683.895670567104,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/31/output_6/pdbs/447.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
32,4.0,1.0,70000.0,0.1693151460809911,0.25,0.1460934627289742,8278.624646484244,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/32/output_8/pdbs/51.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
33,4.0,1.0,80000.0,0.1678233961446502,0.25,0.1431770112114763,8553.750670882597,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/33/output_1/pdbs/51.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
34,4.0,1.0,90000.0,0.1674983880520751,0.25,0.1380413893059949,9684.410759300556,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/34/output_4/pdbs/433.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
35,4.0,1.0,100000.0,0.1660733145815159,0.25,0.138464227618663,9793.322191057176,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/35/output_9/pdbs/177.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.25,0.25,0.25,,,,
37,8.0,1.0,1000.0,0.2212952238124481,0.125,0.2077864966660662,7637.006766762281,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/37/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
38,8.0,1.0,10000.0,0.2121879908849627,0.125,0.1977762329720416,7560.135320834362,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/38/output_4/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
39,8.0,1.0,20000.0,0.2006071547165179,0.125,0.179437815900001,10734.295117289248,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/39/output_8/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
40,8.0,1.0,30000.0,0.1981635914593963,0.125,0.1796036151944357,7739.165000309706,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/40/output_3/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
41,8.0,1.0,40000.0,0.1953409111974605,0.125,0.1734575544997114,7976.006041034319,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/41/output_7/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
42,8.0,1.0,50000.0,0.1866550351164104,0.125,0.1636586980936014,14572.18874227388,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/42/output_0/pdbs/96.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
43,8.0,1.0,60000.0,0.1822823965962191,0.125,0.1589832961435457,14285.94235319452,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/43/output_2/pdbs/49.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
44,8.0,1.0,70000.0,0.1781171681519613,0.125,0.1512868326234414,16027.92635675401,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/44/output_7/pdbs/247.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
45,8.0,1.0,80000.0,0.175578137301969,0.125,0.1430446505712737,16767.3445767453,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/45/output_0/pdbs/462.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
46,8.0,1.0,90000.0,0.1734177975770299,0.125,0.1427960438978223,16836.755415065752,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/46/output_2/pdbs/240.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
47,8.0,1.0,100000.0,0.1714681489178647,0.125,0.1377437349274238,17199.70925200153,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/47/output_6/pdbs/341.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125
